# Omega_m S_8 h w_0 sigma_8
    0.3282    0.6947    0.6766   -1.2376    0.6642
    0.1019    0.8005    0.7104   -1.6154    1.3735
    0.2536    0.6101    0.6238   -1.7698    0.6636
    0.1734    0.7232    0.6584   -0.5223    0.9512
    0.3759    0.8947    0.6034   -0.9741    0.7993
    0.4758    0.7591    0.7459   -1.3046    0.6028
    0.1458    0.7680    0.8031   -1.4498    1.1016
    0.3099    0.7821    0.6940   -1.8784    0.7695
    0.4815    0.6771    0.6374   -0.7737    0.5345
    0.3425    0.7021    0.8006   -1.5010    0.6571
    0.5482    0.6332    0.7645   -1.9127    0.4684
    0.2898    0.7182    0.6505   -0.6649    0.7307
    0.4247    0.7474    0.6819   -1.1986    0.6282
    0.3979    0.8448    0.7833   -1.1088    0.7335
    0.1691    0.8578    0.7890   -1.6903    1.1425
    0.1255    0.6139    0.7567   -0.9878    0.9492
    0.5148    0.8126    0.6691   -1.3812    0.6203
    0.1928    0.8820    0.6285   -0.8564    1.1002
    0.2784    0.6467    0.7151   -1.0673    0.6713
    0.2106    0.8721    0.7388   -0.5667    1.0409
    0.4430    0.8321    0.6161   -1.7037    0.6848
    0.4062    0.6615    0.8129   -1.9866    0.5685
    0.2294    0.8189    0.7706   -0.8602    0.9365
    0.5095    0.7343    0.6988   -0.7164    0.5635
    0.3652    0.6543    0.7271   -1.5414    0.5930
0.2905 0.8227 0.6898 -1.000 0.8360
